ds,y_gt
2021-01-24 12:00:00,38090
2021-01-24 12:30:00,38185
2021-01-24 13:00:00,38190
2021-01-24 13:30:00,37902
2021-01-24 14:00:00,38161
2021-01-24 14:30:00,38030
2021-01-24 15:00:00,38307
2021-01-24 15:30:00,38995
2021-01-24 16:00:00,40138
2021-01-24 16:30:00,42162
2021-01-24 17:00:00,43271
2021-01-24 17:30:00,43100
2021-01-24 18:00:00,42520
2021-01-24 18:30:00,41654
2021-01-24 19:00:00,40616
2021-01-24 19:30:00,39196
2021-01-24 20:00:00,37989
2021-01-24 20:30:00,36512
2021-01-24 21:00:00,35110
2021-01-24 21:30:00,33546
2021-01-24 22:00:00,31707
2021-01-24 22:30:00,30317
2021-01-24 23:00:00,28880
2021-01-24 23:30:00,28054
2021-01-25 00:00:00,27713
2021-01-25 00:30:00,28358
2021-01-25 01:00:00,28235
2021-01-25 01:30:00,27672
2021-01-25 02:00:00,27534
2021-01-25 02:30:00,27408
2021-01-25 03:00:00,26924
2021-01-25 03:30:00,26757
2021-01-25 04:00:00,26689
2021-01-25 04:30:00,26878
2021-01-25 05:00:00,27258
2021-01-25 05:30:00,27943
2021-01-25 06:00:00,30187
2021-01-25 06:30:00,32780
2021-01-25 07:00:00,36921
2021-01-25 07:30:00,38880
2021-01-25 08:00:00,39806
2021-01-25 08:30:00,40839
2021-01-25 09:00:00,41329
2021-01-25 09:30:00,41178
2021-01-25 10:00:00,41456
2021-01-25 10:30:00,41076
2021-01-25 11:00:00,40593
2021-01-25 11:30:00,40281
2021-01-25 12:00:00,40506
2021-01-25 12:30:00,40395
2021-01-25 13:00:00,39626
2021-01-25 13:30:00,39362
2021-01-25 14:00:00,39758
2021-01-25 14:30:00,40005
2021-01-25 15:00:00,41065
2021-01-25 15:30:00,42152
2021-01-25 16:00:00,42477
2021-01-25 16:30:00,43950
2021-01-25 17:00:00,44727
2021-01-25 17:30:00,44915
2021-01-25 18:00:00,44426
2021-01-25 18:30:00,43923
2021-01-25 19:00:00,42538
2021-01-25 19:30:00,40978
2021-01-25 20:00:00,39782
2021-01-25 20:30:00,38461
2021-01-25 21:00:00,36785
2021-01-25 21:30:00,35104
2021-01-25 22:00:00,33694
2021-01-25 22:30:00,31932
2021-01-25 23:00:00,30116
2021-01-25 23:30:00,28890
2021-01-26 00:00:00,28419
2021-01-26 00:30:00,28986
2021-01-26 01:00:00,29035
2021-01-26 01:30:00,28567
2021-01-26 02:00:00,28397
2021-01-26 02:30:00,28323
2021-01-26 03:00:00,28044
2021-01-26 03:30:00,27786
2021-01-26 04:00:00,27625
2021-01-26 04:30:00,27634
2021-01-26 05:00:00,27681
2021-01-26 05:30:00,28840
2021-01-26 06:00:00,31634
2021-01-26 06:30:00,33905
2021-01-26 07:00:00,36218
2021-01-26 07:30:00,37869
2021-01-26 08:00:00,39545
2021-01-26 08:30:00,40876
2021-01-26 09:00:00,41872
2021-01-26 09:30:00,42019
2021-01-26 10:00:00,41896
2021-01-26 10:30:00,41999
2021-01-26 11:00:00,42052
2021-01-26 11:30:00,42181
2021-01-26 12:00:00,43122
2021-01-26 12:30:00,43312
2021-01-26 13:00:00,43167
2021-01-26 13:30:00,42791
2021-01-26 14:00:00,43233
2021-01-26 14:30:00,42944
2021-01-26 15:00:00,42903
2021-01-26 15:30:00,43159
2021-01-26 16:00:00,43039
2021-01-26 16:30:00,43881
2021-01-26 17:00:00,44667
2021-01-26 17:30:00,44778
2021-01-26 18:00:00,44737
2021-01-26 18:30:00,43910
2021-01-26 19:00:00,42535
